A_id,A_amount,A_valueDate,A_currencyCode,Risk_Exposure
839995590736.0,-3155133245.0,2023-03-05,USD,3155133245.0
78133932824.0,3152653532.0,2023-04-19,USD,3152653532.0
141462986131.0,-3152611498.0,2023-04-15,USD,3152611498.0
665995862686.0,-3150388180.0,2023-04-06,USD,3150388180.0
896564960832.0,3033375774.0,2023-05-19,USD,3033375774.0
592373514292.0,-3033365662.0,2023-05-18,USD,3033365662.0
158989969017.0,2956606866.0,2023-03-16,USD,2956606866.0
751963608649.0,-2956597011.0,2023-03-15,USD,2956597011.0
664366079085.0,2950085428.0,2023-03-17,USD,2950085428.0
937261598500.0,-2950075594.0,2023-03-16,USD,2950075594.0
851011140504.0,2863423548.0,2023-03-10,USD,2863423548.0
540159572051.0,-2863414003.0,2023-03-09,USD,2863414003.0
568805773267.0,2841765425.0,2023-03-12,USD,2841765425.0
562083933429.0,-2841755950.0,2023-03-11,USD,2841755950.0
645442538664.0,2730472911.0,2023-05-25,USD,2730472911.0
911647055631.0,-2730463051.0,2023-05-24,USD,2730463051.0
89356641307.0,2724100193.0,2023-05-20,USD,2724100193.0
959449448029.0,-2724091112.0,2023-05-19,USD,2724091112.0
612859261494.0,2677851415.0,2023-04-05,USD,2677851415.0
977767027559.0,-2677824637.0,2023-04-02,USD,2677824637.0
759042135486.0,2581643200.0,2023-04-02,USD,2581643200.0
614162666500.0,-2581634594.0,2023-04-01,USD,2581634594.0
90730484027.0,-2546452575.0,2023-05-27,USD,2546452575.0
91322119089.0,2510446897.0,2023-05-18,USD,2510446897.0
353458279557.0,-2510439226.0,2023-05-17,USD,2510439226.0
4430922628.0,2508366302.0,2023-05-24,USD,2508366302.0
565575188827.0,-2508341218.0,2023-05-21,USD,2508341218.0
283392872602.0,2397864661.0,2023-05-27,USD,2397864661.0
195478593008.0,-2397856002.0,2023-05-26,USD,2397856002.0
487742868161.0,2184483976.0,2023-05-21,USD,2184483976.0
351692212674.0,-2184476695.0,2023-05-20,USD,2184476695.0
897430786677.0,2109493550.0,2023-04-09,USD,2109493550.0
533458594494.0,-2109485933.0,2023-04-08,USD,2109485933.0
541633426358.0,1857361960.0,2023-05-17,USD,1857361960.0
353563587903.0,-1857343387.0,2023-05-14,USD,1857343387.0
580415452159.0,1766331926.0,2023-05-26,USD,1766331926.0
381723847542.0,-1766325547.0,2023-05-25,USD,1766325547.0
436339224362.0,-1436000000.0,2023-05-11,USD,1436000000.0
292102958185.0,1417028102.0,2023-04-08,USD,1417028102.0
67205782644.0,-1161000000.0,2023-05-25,USD,1161000000.0
74583806578.0,-924090739.0,2023-04-09,USD,924090739.0
846718433573.0,812954226.0,2023-05-25,USD,812954226.0
164944472033.0,563148961.0,2023-05-25,USD,563148961.0
348906111968.0,-523687189.7,2023-04-08,USD,523687189.7
246976570775.0,400000000.0,2023-04-05,USD,400000000.0
749757964147.0,344370016.0,2023-04-05,USD,344370016.0
81129088832.0,-326893453.7,2023-03-24,USD,326893453.7
228588856354.0,317976000.0,2023-05-05,USD,317976000.0
688987790217.0,313999096.0,2023-05-05,USD,313999096.0
749868340614.0,-303049606.0,2023-03-30,USD,303049606.0
140159649595.0,-296721895.2,2023-04-07,USD,296721895.2
182804207264.0,269119694.8,2023-03-17,USD,269119694.8
701335796276.0,-239121664.0,2023-04-15,USD,239121664.0
534521662856.0,239121664.0,2023-04-15,USD,239121664.0
720354918240.0,200000000.0,2023-04-05,USD,200000000.0
600382408434.0,169328100.0,2023-05-05,USD,169328100.0
739480895672.0,-159400000.0,2023-04-13,USD,159400000.0
760247582091.0,128092581.2,2023-05-21,USD,128092581.2
346321142518.0,-128087430.2,2023-04-13,USD,128087430.2
782198930999.0,-120000000.0,2023-04-21,USD,120000000.0
830482428395.0,118176642.7,2023-03-30,USD,118176642.7
362570234202.0,-118176642.7,2023-03-30,USD,118176642.7
129746536662.0,-113442113.7,2023-05-05,USD,113442113.7
533231835517.0,113442113.7,2023-05-05,USD,113442113.7
199618121471.0,-113442113.7,2023-05-05,USD,113442113.7
368446127718.0,113442113.7,2023-05-05,USD,113442113.7
532465406906.0,113442113.7,2023-05-05,USD,113442113.7
616229822866.0,-113442113.7,2023-05-05,USD,113442113.7
786031063403.0,-113442113.7,2023-05-07,USD,113442113.7
511438705972.0,113442113.7,2023-05-05,USD,113442113.7
403948229646.0,-98726330.0,2023-05-07,USD,98726330.0
350140850546.0,96942639.61,2023-03-26,USD,96942639.61
266138243074.0,-96942639.61,2023-03-26,USD,96942639.61
651737304304.0,-91000000.0,2023-04-13,USD,91000000.0
871997538038.0,87562000.0,2023-05-17,USD,87562000.0
619377256192.0,85996543.5,2023-04-01,USD,85996543.5
375363618637.0,-85025795.33,2023-05-31,USD,85025795.33
699777417471.0,83851851.92,2023-04-13,USD,83851851.92
309230624428.0,-83851851.92,2023-04-13,USD,83851851.92
427878385598.0,83851851.92,2023-05-27,USD,83851851.92
663584334044.0,83851851.92,2023-05-27,USD,83851851.92
899504247434.0,-83851851.92,2023-04-13,USD,83851851.92
21083448053.0,83851851.92,2023-04-13,USD,83851851.92
954562083465.0,-83851851.91,2023-04-13,USD,83851851.91
808675531019.0,83851851.91,2023-04-13,USD,83851851.91
908373152025.0,83851841.47,2023-04-14,USD,83851841.47
105139170766.0,83851841.46,2023-04-13,USD,83851841.46
316973873029.0,83851841.46,2023-04-13,USD,83851841.46
763578276501.0,-82423250.9,2023-03-19,USD,82423250.9
215397598666.0,81644884.88,2023-04-13,USD,81644884.88
952687657831.0,81644884.88,2023-04-13,USD,81644884.88
416607790104.0,79245408.17,2023-03-23,USD,79245408.17
400236066248.0,79245408.17,2023-03-23,USD,79245408.17
670379553322.0,79245408.17,2023-03-23,USD,79245408.17
330252763352.0,79245408.17,2023-03-23,USD,79245408.17
967442995942.0,79245408.17,2023-03-23,USD,79245408.17
846087901286.0,79245408.17,2023-03-23,USD,79245408.17
155981895365.0,79245408.17,2023-03-23,USD,79245408.17
547465099877.0,-79122597.28,2023-04-08,USD,79122597.28
795430847460.0,79122289.59,2023-04-07,USD,79122289.59
703451628806.0,79122289.58,2023-04-07,USD,79122289.58
787800632178.0,78615938.3,2023-05-12,USD,78615938.3
824018074384.0,74523722.3,2023-04-13,USD,74523722.3
406797110933.0,74523722.3,2023-04-13,USD,74523722.3
116550473187.0,-74523722.3,2023-04-13,USD,74523722.3
193744332044.0,-74523722.3,2023-04-13,USD,74523722.3
34981401498.0,-74523722.3,2023-04-13,USD,74523722.3
97407468660.0,74523722.3,2023-04-13,USD,74523722.3
221167994876.0,74523722.3,2023-04-13,USD,74523722.3
46953731748.0,74523712.96,2023-04-13,USD,74523712.96
266544903900.0,74523712.96,2023-04-13,USD,74523712.96
457976879344.0,74523712.96,2023-04-13,USD,74523712.96
25142152551.0,-73668936.73,2023-04-08,USD,73668936.73
182047003195.0,71732101.54,2023-04-13,USD,71732101.54
634706553669.0,70480416.46,2023-04-28,USD,70480416.46
596951782614.0,70480416.46,2023-04-28,USD,70480416.46
597417091022.0,70480416.46,2023-04-28,USD,70480416.46
178070653685.0,70480416.46,2023-04-28,USD,70480416.46
464432259884.0,69969759.28,2023-05-11,USD,69969759.28
592140997160.0,69654243.1,2023-04-13,USD,69654243.1
663137293970.0,69654243.1,2023-04-13,USD,69654243.1
603928411892.0,69654243.09,2023-04-13,USD,69654243.09
196653214203.0,69112822.26,2023-04-26,USD,69112822.26
902320318313.0,69112822.26,2023-04-26,USD,69112822.26
568939419108.0,69112822.26,2023-04-26,USD,69112822.26
202278964099.0,69112822.26,2023-05-24,USD,69112822.26
192617332991.0,69112822.26,2023-04-26,USD,69112822.26
805834555674.0,69112822.26,2023-04-26,USD,69112822.26
377754156685.0,69112822.26,2023-04-26,USD,69112822.26
292789125588.0,69112822.26,2023-04-26,USD,69112822.26
303043549699.0,69112822.26,2023-05-24,USD,69112822.26
17121374043.0,67077662.85,2023-03-19,USD,67077662.85
477681057509.0,64578957.04,2023-04-07,USD,64578957.04
497771416541.0,63298200.0,2023-04-13,USD,63298200.0
23504111602.0,62657406.63,2023-04-13,USD,62657406.63
430837097366.0,62508662.19,2023-04-29,USD,62508662.19
100152985356.0,61771975.63,2023-04-13,USD,61771975.63
55398630512.0,60365255.06,2023-04-08,USD,60365255.06
301712360760.0,60365255.06,2023-04-08,USD,60365255.06
286245792284.0,60365255.05,2023-04-08,USD,60365255.05
37556676799.0,60365247.49,2023-04-09,USD,60365247.49
522056088714.0,-60365247.49,2023-04-08,USD,60365247.49
68562554479.0,-60365247.49,2023-04-09,USD,60365247.49
518716145766.0,-60365247.48,2023-04-08,USD,60365247.48
663970832767.0,-60365247.48,2023-04-09,USD,60365247.48
584950756348.0,60365247.48,2023-04-09,USD,60365247.48
399381176997.0,60365247.48,2023-04-09,USD,60365247.48
131618143945.0,-60365247.48,2023-04-09,USD,60365247.48
469217341105.0,-60365247.48,2023-04-08,USD,60365247.48
346916642354.0,60365020.31,2023-04-07,USD,60365020.31
815483774295.0,-60365020.31,2023-04-07,USD,60365020.31
962734387976.0,-60365020.31,2023-04-07,USD,60365020.31
841577578551.0,-60365020.31,2023-04-07,USD,60365020.31
655511386779.0,60365020.31,2023-04-07,USD,60365020.31
148627079608.0,60365012.73,2023-04-07,USD,60365012.73
212769369291.0,-60365012.73,2023-04-09,USD,60365012.73
313784121885.0,-60365012.73,2023-04-09,USD,60365012.73
150431291867.0,60365012.73,2023-04-09,USD,60365012.73
225353362473.0,60365012.73,2023-04-09,USD,60365012.73
576113980147.0,60365012.73,2023-04-07,USD,60365012.73
455700463595.0,-60365012.72,2023-04-09,USD,60365012.72
981313735513.0,60365012.72,2023-04-07,USD,60365012.72
403954096825.0,60365012.72,2023-04-09,USD,60365012.72
157962141021.0,60196277.57,2023-04-13,USD,60196277.57
549830571115.0,60053829.34,2023-03-11,USD,60053829.34
25394545371.0,59920163.11,2023-04-07,USD,59920163.11
888067095648.0,59920163.11,2023-04-07,USD,59920163.11
195337566529.0,-59445282.58,2023-05-18,USD,59445282.58
300406705938.0,-59445282.58,2023-05-18,USD,59445282.58
198353734692.0,59445282.58,2023-05-18,USD,59445282.58
281040640053.0,-59445282.58,2023-05-18,USD,59445282.58
825799240355.0,59445282.58,2023-05-18,USD,59445282.58
744522567541.0,59445282.58,2023-05-18,USD,59445282.58
441631085445.0,-59440566.65,2023-04-22,USD,59440566.65
208120664530.0,-59440566.65,2023-04-22,USD,59440566.65
262263074197.0,-59440566.65,2023-04-22,USD,59440566.65
167424378032.0,-59440566.65,2023-04-22,USD,59440566.65
979275956283.0,-59440566.65,2023-04-22,USD,59440566.65
348322853402.0,-59440566.65,2023-04-22,USD,59440566.65
988301804183.0,-59440566.65,2023-04-22,USD,59440566.65
966356693493.0,-59440566.65,2023-04-22,USD,59440566.65
136153605196.0,-59440566.65,2023-04-22,USD,59440566.65
911913189846.0,-59390349.54,2023-04-28,USD,59390349.54
228744351318.0,59390349.54,2023-04-28,USD,59390349.54
463260522920.0,-59390349.54,2023-04-28,USD,59390349.54
777905424589.0,59390349.54,2023-04-28,USD,59390349.54
289812529183.0,59373163.87,2023-03-29,USD,59373163.87
491536193228.0,59373163.87,2023-03-29,USD,59373163.87
464957700512.0,59048058.89,2023-04-13,USD,59048058.89
614509171733.0,-59048058.89,2023-04-13,USD,59048058.89
632721391727.0,58760526.57,2023-05-05,USD,58760526.57
454397693043.0,58757728.84,2023-05-06,USD,58757728.84
126507355816.0,58757728.84,2023-05-06,USD,58757728.84
907698838569.0,58757728.84,2023-05-06,USD,58757728.84
331935995501.0,58757728.84,2023-05-06,USD,58757728.84
804894478532.0,58753099.82,2023-05-06,USD,58753099.82
381335643164.0,58662749.59,2023-03-23,USD,58662749.59
677447910717.0,58658822.85,2023-04-13,USD,58658822.85
749872869832.0,58658822.85,2023-04-13,USD,58658822.85
541795284805.0,58658822.85,2023-04-13,USD,58658822.85
340964445488.0,58658822.85,2023-04-13,USD,58658822.85
464995128684.0,58115252.15,2023-03-19,USD,58115252.15
947661682406.0,58115252.12,2023-03-19,USD,58115252.12
992921774884.0,58115252.12,2023-03-19,USD,58115252.12
271185857851.0,58115252.12,2023-03-19,USD,58115252.12
805259527595.0,58115252.12,2023-03-19,USD,58115252.12
54517253634.0,58112058.58,2023-03-17,USD,58112058.58
272832818110.0,58112058.57,2023-03-17,USD,58112058.57
585524454592.0,58112058.57,2023-03-17,USD,58112058.57
280938529429.0,58112058.57,2023-03-17,USD,58112058.57
852172127866.0,58092605.82,2023-04-20,USD,58092605.82
488696320609.0,58090000.0,2023-03-22,USD,58090000.0
159922717968.0,58090000.0,2023-03-22,USD,58090000.0
823129525876.0,58090000.0,2023-03-22,USD,58090000.0
58584682018.0,58090000.0,2023-03-22,USD,58090000.0
429213912661.0,58090000.0,2023-03-22,USD,58090000.0
664888403933.0,58090000.0,2023-03-22,USD,58090000.0
235933578626.0,-58068684.43,2023-05-24,USD,58068684.43
261023899431.0,58068684.43,2023-05-24,USD,58068684.43
756775553646.0,-58045629.26,2023-05-18,USD,58045629.26
546461834036.0,58045629.26,2023-05-18,USD,58045629.26
833785678315.0,-58045629.26,2023-05-18,USD,58045629.26
674615280643.0,58045629.26,2023-05-18,USD,58045629.26
195087065483.0,-58045629.26,2023-05-18,USD,58045629.26
307391900013.0,-58045629.26,2023-05-18,USD,58045629.26
785690506321.0,58045629.26,2023-05-18,USD,58045629.26
774257821741.0,58045629.26,2023-05-18,USD,58045629.26
167011478596.0,-58045629.26,2023-05-18,USD,58045629.26
106468718401.0,58045629.26,2023-05-18,USD,58045629.26
378261002773.0,-58041949.95,2023-05-24,USD,58041949.95
10863213795.0,58041949.94,2023-05-24,USD,58041949.94
811268922884.0,58041949.94,2023-05-24,USD,58041949.94
508574345860.0,58041949.94,2023-05-24,USD,58041949.94
765436242321.0,58041949.94,2023-05-24,USD,58041949.94
863693528967.0,58041949.94,2023-05-24,USD,58041949.94
300331883499.0,-58041949.94,2023-05-24,USD,58041949.94
522550408046.0,-58041949.94,2023-05-24,USD,58041949.94
193195871502.0,-58041949.94,2023-05-24,USD,58041949.94
640950323702.0,58041949.94,2023-05-24,USD,58041949.94
563235186749.0,58041949.94,2023-05-24,USD,58041949.94
844630696365.0,-58041949.94,2023-05-24,USD,58041949.94
990933623106.0,58041949.94,2023-05-24,USD,58041949.94
81531836790.0,58041949.94,2023-05-24,USD,58041949.94
621984398897.0,58041949.94,2023-05-24,USD,58041949.94
912352364405.0,58041949.94,2023-05-24,USD,58041949.94
207980717280.0,58041949.94,2023-05-24,USD,58041949.94
945154337548.0,58040627.6,2023-05-26,USD,58040627.6
200738768276.0,58040627.6,2023-05-26,USD,58040627.6
407498315881.0,58040627.6,2023-05-26,USD,58040627.6
686464942827.0,58040627.6,2023-05-26,USD,58040627.6
164760795540.0,58040627.6,2023-05-26,USD,58040627.6
325618175842.0,58040627.6,2023-05-26,USD,58040627.6
232996549778.0,58040627.6,2023-05-26,USD,58040627.6
934491991609.0,-58039417.54,2023-05-21,USD,58039417.54
523956421059.0,-58039417.54,2023-05-21,USD,58039417.54
178137552274.0,57296246.61,2023-05-18,USD,57296246.61
938965935982.0,-57296246.61,2023-05-18,USD,57296246.61
627225326618.0,-57257021.7,2023-04-13,USD,57257021.7
213700793374.0,-57257021.7,2023-04-13,USD,57257021.7
252298379669.0,57257021.7,2023-04-13,USD,57257021.7
374966896118.0,57257021.7,2023-04-13,USD,57257021.7
138208685787.0,-57257021.7,2023-04-13,USD,57257021.7
442837790070.0,57257014.59,2023-04-13,USD,57257014.59
99698122385.0,57257014.59,2023-04-13,USD,57257014.59
766162339740.0,57257014.59,2023-04-13,USD,57257014.59
799290951689.0,56613449.28,2023-05-21,USD,56613449.28
987292115611.0,56596354.89,2023-05-11,USD,56596354.89
433302344362.0,56531012.16,2023-03-05,USD,56531012.16
414561531760.0,-56508135.79,2023-05-24,USD,56508135.79
700366241879.0,56508135.79,2023-05-24,USD,56508135.79
487082054134.0,-56489511.2,2023-04-29,USD,56489511.2
615168448123.0,56489511.2,2023-04-29,USD,56489511.2
485130173092.0,-56489511.2,2023-04-29,USD,56489511.2
824238771991.0,56489511.2,2023-04-29,USD,56489511.2
600905582050.0,56488993.41,2023-04-30,USD,56488993.41
222380500346.0,56488993.41,2023-04-30,USD,56488993.41
467373454120.0,-56488993.41,2023-04-30,USD,56488993.41
457978822044.0,-56488993.41,2023-04-30,USD,56488993.41
522352603329.0,56450970.35,2023-04-28,USD,56450970.35
273771268580.0,56450970.35,2023-04-28,USD,56450970.35
604207087915.0,56450970.35,2023-04-28,USD,56450970.35
162923621103.0,55608708.51,2023-05-06,USD,55608708.51
687721353082.0,-55608708.5,2023-05-06,USD,55608708.5
993713431099.0,55556383.04,2023-04-22,USD,55556383.04
850730782084.0,-55556383.04,2023-04-22,USD,55556383.04
176443057138.0,55546696.89,2023-04-28,USD,55546696.89
694647724854.0,55545477.86,2023-05-06,USD,55545477.86
708862785523.0,55538535.54,2023-03-22,USD,55538535.54
398181213155.0,-55522959.86,2023-03-22,USD,55522959.86
26211517978.0,-55522959.86,2023-03-22,USD,55522959.86
42728639910.0,-55522959.86,2023-03-22,USD,55522959.86
946083435719.0,-55522959.86,2023-03-22,USD,55522959.86
559453477560.0,-55522959.86,2023-03-22,USD,55522959.86
751173125515.0,-55522959.86,2023-03-22,USD,55522959.86
560893860530.0,-55522959.86,2023-03-22,USD,55522959.86
338480162706.0,-55190096.53,2023-05-04,USD,55190096.53
17773058722.0,55190096.53,2023-05-04,USD,55190096.53
548830795222.0,55184010.65,2023-05-19,USD,55184010.65
368715531496.0,55184010.65,2023-03-23,USD,55184010.65
205694169674.0,55184010.64,2023-03-23,USD,55184010.64
327481874709.0,55184010.64,2023-03-23,USD,55184010.64
157057809550.0,55173738.29,2023-04-05,USD,55173738.29
785937716874.0,-55173738.29,2023-04-05,USD,55173738.29
946880989483.0,55173738.27,2023-04-05,USD,55173738.27
413914321796.0,-55173738.27,2023-04-05,USD,55173738.27
509597612319.0,-55173738.27,2023-04-05,USD,55173738.27
235368318765.0,55173738.27,2023-04-05,USD,55173738.27
404016726919.0,-55173738.27,2023-04-05,USD,55173738.27
402740765107.0,55173738.27,2023-04-05,USD,55173738.27
283810041816.0,55172414.32,2023-03-31,USD,55172414.32
474092932540.0,55169695.54,2023-04-01,USD,55169695.54
158020231926.0,-55169695.54,2023-04-01,USD,55169695.54
161915741670.0,-55169695.54,2023-04-01,USD,55169695.54
726561855509.0,-55169695.54,2023-04-01,USD,55169695.54
101574347095.0,55169695.54,2023-04-01,USD,55169695.54
559290430771.0,-55169695.54,2023-04-01,USD,55169695.54
578237659131.0,55169695.54,2023-04-01,USD,55169695.54
102077333106.0,-55169695.54,2023-04-01,USD,55169695.54
163542876431.0,-55169695.54,2023-04-01,USD,55169695.54
32483498055.0,55169695.54,2023-04-01,USD,55169695.54
308784079556.0,55169695.54,2023-04-01,USD,55169695.54
741386335446.0,55169695.54,2023-04-01,USD,55169695.54
813626880001.0,-55169695.54,2023-04-01,USD,55169695.54
631687983901.0,-55169695.54,2023-04-01,USD,55169695.54
709421725528.0,-55169695.54,2023-04-01,USD,55169695.54
322437499624.0,55169695.54,2023-04-01,USD,55169695.54
305968226555.0,55169695.54,2023-04-01,USD,55169695.54
174386303304.0,55169695.54,2023-04-01,USD,55169695.54
628991487600.0,54913250.07,2023-03-24,USD,54913250.07
297301800689.0,54913250.07,2023-03-24,USD,54913250.07
564699794432.0,-54913250.07,2023-03-24,USD,54913250.07
461787221953.0,-54913250.07,2023-03-24,USD,54913250.07
346058476507.0,54873965.13,2023-05-24,USD,54873965.13
386977688820.0,54524055.45,2023-04-08,USD,54524055.45
12152309286.0,54524055.45,2023-04-08,USD,54524055.45
417548093522.0,54524055.45,2023-04-08,USD,54524055.45
894092471814.0,54524055.45,2023-04-08,USD,54524055.45
965001363241.0,54524055.45,2023-04-08,USD,54524055.45
532164601285.0,54524055.45,2023-04-08,USD,54524055.45
250062591175.0,54524055.45,2023-04-08,USD,54524055.45
362196227308.0,-54524048.61,2023-04-09,USD,54524048.61
582264513608.0,-54524048.61,2023-04-08,USD,54524048.61
44014962480.0,54524048.61,2023-04-09,USD,54524048.61
612737477859.0,-54524048.6,2023-04-08,USD,54524048.6
762553725401.0,54524048.6,2023-04-09,USD,54524048.6
67899467894.0,54524048.6,2023-04-09,USD,54524048.6
874796074531.0,-54524048.6,2023-04-09,USD,54524048.6
100760892506.0,-54524048.6,2023-04-08,USD,54524048.6
349686526089.0,-54524048.6,2023-04-09,USD,54524048.6
953186889230.0,-54524048.6,2023-04-08,USD,54524048.6
377828604177.0,-54524048.6,2023-04-08,USD,54524048.6
734712369714.0,54524048.6,2023-04-09,USD,54524048.6
624461555815.0,-54524048.6,2023-04-08,USD,54524048.6
571694211302.0,-54524048.6,2023-04-08,USD,54524048.6
585366152889.0,54524048.6,2023-04-09,USD,54524048.6
159902297289.0,-54524048.6,2023-04-08,USD,54524048.6
568876705433.0,54524048.6,2023-04-09,USD,54524048.6
794548694437.0,-54524048.6,2023-04-09,USD,54524048.6
538679130356.0,-54524048.6,2023-04-09,USD,54524048.6
251585194293.0,-54524048.6,2023-04-09,USD,54524048.6
19067638077.0,54524048.6,2023-04-09,USD,54524048.6
786166047346.0,54524048.6,2023-04-09,USD,54524048.6
556211302055.0,-54524048.6,2023-04-09,USD,54524048.6
374080793847.0,-54524048.6,2023-04-08,USD,54524048.6
493370498211.0,54524048.6,2023-04-09,USD,54524048.6
129298675917.0,-54523843.41,2023-04-07,USD,54523843.41
575659689758.0,54523843.41,2023-04-07,USD,54523843.41
213775818907.0,54523843.41,2023-04-07,USD,54523843.41
377908822018.0,54523843.41,2023-04-07,USD,54523843.41
403665534324.0,-54523843.41,2023-04-07,USD,54523843.41
175797030570.0,54523843.41,2023-04-07,USD,54523843.41
176107795756.0,-54523843.41,2023-04-07,USD,54523843.41
437516888952.0,54523843.41,2023-04-07,USD,54523843.41
368426368681.0,-54523843.41,2023-04-07,USD,54523843.41
894781878307.0,54523843.41,2023-04-07,USD,54523843.41
492679228346.0,-54523843.41,2023-04-07,USD,54523843.41
486648295971.0,54523843.41,2023-04-07,USD,54523843.41
959732572352.0,-54523843.41,2023-04-07,USD,54523843.41
499009255408.0,-54523843.38,2023-04-07,USD,54523843.38
371202075425.0,-54523843.38,2023-04-07,USD,54523843.38
608064287442.0,54523843.38,2023-04-07,USD,54523843.38
294165142802.0,54523843.38,2023-04-07,USD,54523843.38
298551265519.0,54523836.59,2023-04-07,USD,54523836.59
693682117347.0,54523836.59,2023-04-09,USD,54523836.59
829276076090.0,54523836.59,2023-04-07,USD,54523836.59
647333268453.0,-54523836.59,2023-04-09,USD,54523836.59
797928931536.0,-54523836.59,2023-04-09,USD,54523836.59
936652347338.0,54523836.59,2023-04-07,USD,54523836.59
691496505199.0,54523836.59,2023-04-09,USD,54523836.59
162190720106.0,54523836.59,2023-04-07,USD,54523836.59
19664758560.0,54523836.59,2023-04-09,USD,54523836.59
467262950594.0,54523836.59,2023-04-07,USD,54523836.59
860604286331.0,54523836.59,2023-04-09,USD,54523836.59
181304899376.0,54523836.59,2023-04-09,USD,54523836.59
952465321606.0,-54523836.59,2023-04-09,USD,54523836.59
597990842855.0,-54523836.59,2023-04-09,USD,54523836.59
829044559571.0,-54523836.59,2023-04-09,USD,54523836.59
84896304064.0,-54523836.59,2023-04-09,USD,54523836.59
191749060649.0,54523836.59,2023-04-09,USD,54523836.59
726046365730.0,54523836.59,2023-04-07,USD,54523836.59
245539935138.0,54523836.59,2023-04-09,USD,54523836.59
171206395997.0,-54523836.59,2023-04-09,USD,54523836.59
422388712036.0,54523836.59,2023-04-07,USD,54523836.59
140903109858.0,-54523836.59,2023-04-09,USD,54523836.59
1304701318.0,54523836.59,2023-04-07,USD,54523836.59
